"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASHOKLEY","EQ","06-Dec-2018","        103.60","        102.35","        102.70","        101.10","        102.00","        102.10","        101.91","   21429046","          2183733427.30","      84707","    5761600","         26.89"
"ASHOKLEY","EQ","07-Dec-2018","        102.10","        102.40","        103.70","        101.25","        102.80","        102.90","        102.58","   16073694","          1648828732.65","      59808","    2916889","         18.15"
"ASHOKLEY","EQ","10-Dec-2018","        102.90","        101.00","        101.50","         97.70","        100.05","        100.45","        100.39","   17819978","          1788910432.75","      72452","    4515513","         25.34"
"ASHOKLEY","EQ","11-Dec-2018","        100.45","         98.75","        104.30","         98.40","        104.05","        103.20","        101.50","   19315997","          1960553233.50","      74288","    4234023","         21.92"
"ASHOKLEY","EQ","12-Dec-2018","        103.20","        104.20","        106.85","        104.05","        105.15","        105.15","        105.43","   18368690","          1936523882.50","      75506","    3597353","         19.58"
"ASHOKLEY","EQ","13-Dec-2018","        105.15","        106.95","        106.95","        103.75","        104.50","        104.40","        105.36","   14387333","          1515870489.25","      64521","    3072779","         21.36"
"ASHOKLEY","EQ","14-Dec-2018","        104.40","        103.65","        105.05","        103.00","        104.05","        104.05","        103.93","   12567569","          1306180336.25","      53875","    2710547","         21.57"
"ASHOKLEY","EQ","17-Dec-2018","        104.05","        104.75","        106.30","        104.40","        106.00","        106.00","        105.48","   11255782","          1187218474.85","      48824","    2743728","         24.38"
"ASHOKLEY","EQ","18-Dec-2018","        106.00","        105.40","        105.80","        104.00","        104.75","        104.80","        104.82","   10904597","          1142982530.10","      41378","    2055756","         18.85"
"ASHOKLEY","EQ","19-Dec-2018","        104.80","        105.10","        108.50","        105.10","        108.40","        107.70","        106.88","   18023307","          1926323320.55","      62339","    7133529","         39.58"
"ASHOKLEY","EQ","20-Dec-2018","        107.70","        107.35","        108.90","        105.85","        106.50","        106.15","        106.97","   14677973","          1570087150.10","      56228","    4242931","         28.91"
"ASHOKLEY","EQ","21-Dec-2018","        106.15","        106.45","        107.00","        103.55","        105.25","        105.35","        104.84","   19003345","          1992298719.60","      71830","    6768277","         35.62"
"ASHOKLEY","EQ","24-Dec-2018","        105.35","        105.45","        105.45","        103.75","        104.35","        104.60","        104.47","    9663127","          1009525224.00","      39009","    1567838","         16.22"
